,,,,,,,,,,,,
Constellation Lines,,,,,,,,,,,,
"Blank rows mean that you should ""pick up your pen"" when drawing the constellations.",,,,,,,,,,,,
"Dan Bruton, SFA Observatory, astro@sfasu.edu, http://observe.phy.sfasu.edu/",,,,,,,,,,,,
Epoch 2000 - Tab Delimited,,,,,,,,,,,,
,,,,,,,,,,,,
CON,NAME,RA,DEC,MAG,,RA(North),DEC(North),,RA(South),DEC(South),,SYMBOL
,,,,,,,,,,,,
ORI,pi^2,4.843611,8.9000,4.30,,77.4118,24.1790,,-94.4023,-29.4859,,p2
ORI,pi^3,4.830833,6.9500,3.10,,79.1898,25.0255,,-92.4438,-29.2139,,p3
ORI,pi^4,4.853611,5.6000,3.60,,80.6273,24.9519,,-91.3267,-28.2630,,p4
ORI,pi^5,4.904167,2.4500,3.70,,83.9717,24.7740,,-88.6715,-26.1605,,p5
ORI,pi^6,4.975833,1.7167,4.40,,85.1289,23.3885,,-88.4395,-24.2980,,p6
ORI,gamma,5.418889,6.3500,1.60,,82.6838,12.6770,,-95.2371,-14.6017,,g
ORI,delta,5.533611,-0.3000,2.20,,89.3300,10.9617,,-89.3300,-10.9617,,d
ORI,eta,5.408056,-2.3833,3.30,,91.2762,14.2595,,-86.5667,-13.5237,,h
ORI,tau,5.293333,-6.8500,3.50,,95.1973,17.8157,,-81.7311,-15.2956,,t
ORI,beta,5.242222,-8.2000,0.10,,96.2739,19.3539,,-80.1956,-16.1217,,b
ORI,kappa,5.796111,-9.6667,2.00,,99.5247,5.3175,,-80.2189,-4.2860,,k
ORI,zeta,5.679444,-1.9500,2.00,,91.6264,7.7075,,-87.7401,-7.3806,,z
ORI,alpha,5.919444,7.4000,0.80,,82.5816,1.7419,,-97.3783,-2.0540,,a
ORI,lambda,5.585556,9.9333,3.60,,79.5958,8.6703,,-99.3457,-10.8216,,l
ORI,gamma,5.418889,6.3500,1.60,,82.6838,12.6770,,-95.2371,-14.6017,,g
ORI,,,,,,,,,,,,
ORI,zeta,5.679444,-1.9500,2.00,,91.6264,7.7075,,-87.7401,-7.3806,,z
ORI,epsilon,5.603333,-1.2000,1.60,,90.7087,9.4538,,-88.3216,-9.2051,,e
ORI,delta,5.533611,-0.3000,2.20,,89.3300,10.9617,,-89.3300,-10.9617,,d
ORI,,,,,,,,,,,,
ORI,alpha,5.919444,7.4000,0.80,,82.5816,1.7419,,-97.3783,-2.0540,,a
ORI,mu,6.039722,9.6500,4.10,,80.3457,-0.8356,,-99.6446,1.0363,,m
ORI,nu,6.126389,14.7667,4.40,,75.1922,-2.4889,,-104.7093,3.4659,,n
